1,Naomi Nagata,202 Ceres Way,naomi@rocinante.xp
2,James Holden,333 Earth Ave,cap@rocinante.xp
3,Amos Burton,Baltimore,timmy@rocinante.xp
4,Alex Kamal,Mars,pilot@mcrn.mars
5,Bobbie Draper,Mars,gunny@mcrn.mars
6,Keyleth,Tal'Dorei,keke@vm.com
7,Shaun Gilmore,Tal'Dorei,gilmore@gloriousgoods.com
8,Percival Fredrickstein von Musel Klossowski de Rolo III,Whitestone,percy@vm.com
9,Scanlan Shorthalt,Tal'Dorei,scanman@vm.com
10,Jean Sibelius,Finland,sibelius@jean.fl
11,Johann Sebastian Bach,Leipzig,bach@baroque.mu
12,Oskar Rieding,Germany,rieding@music.al
